what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1269286584821
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1269286584822
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1269286584822
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1269286584823
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1269286584827
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1269286584828
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1269286584828
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1269286584829
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1269286584829
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1269286584830
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1269286584830
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1269286584832
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1269286584832
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1269286584832
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1269286584833
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1269286584833
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1269286584833
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1269286584834
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1269286584834
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1269286584834
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1269286584835
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1269286584835
os,sysinfo,,,"linux",1269286584838
arch,sysinfo,,,"x86",1269286584838
ws,sysinfo,,,"gtk",1269286584838
locale,sysinfo,,,"en_US",1269286584838
processors,sysinfo,,,"2",1269286584839
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1269286584839
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1269286584839
java.specification.name,sysinfo,,,"Java Platform API Specification",1269286584839
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269286584839
java.specification.version,sysinfo,,,"1.6",1269286584839
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1269286584839
java.version,sysinfo,,,"1.6.0_15",1269286584839
java.vm.info,sysinfo,,,"mixed mode, sharing",1269286584839
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1269286584839
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1269286584839
